name,cohort,job_title,job_category,job_category_entrepreneur,job_category_ic,job_category_leader,job_category_manager,job_category_student,job_category_unknown,job_category_reasoning,company_size_category,company_size_category_enterprise,company_size_category_smb,company_size_category_solo,company_size_category_unknown,course_join_question,course_join_question_summarized,source,source_enrolled_(free),source_lightning_lesson,source_started_payment,source_uploaded_to_waitlist,source_waitlist,course_join_question_cluster,course_join_question_cluster_1,course_join_question_cluster_2,course_join_question_cluster_3,course_join_question_cluster_4,course_join_question_cluster_5,module_item_views,projects_submitted,projects_submitted_gte_1,projects_submitted_gte_3,community_posts,community_posts_gte_1,community_posts_gte_3,zoom_join_clicks,rating,rating_gte_10,rating_exists
Student17,3,ML Engineer,ic,0,1,0,0,0,0,"The title 'ML Engineer' contains 'engineer', which is listed as an example of an individual contributor (IC) role. There are no indications of managerial, leadership, entrepreneurial, or student status.",enterprise,1,0,0,0,"A structured way to build more advanced apps and flows out of my norm
Improve my skills to negotiate increased salaries",Goal: Build advanced apps and improve negotiation skills,Started payment,0,0,1,0,0,1,1,0,0,0,0,38,0,FALSE,FALSE,2,TRUE,FALSE,0,,FALSE,FALSE
Student18,1,Product Manager,manager,0,0,0,1,0,0,"The title 'Product Manager' contains the word 'manager', which indicates responsibility for leading projects or teams, but not at the executive or director level. There is no indication of entrepreneurship or student status.",smb,0,1,0,0,Practical experience of playing with LLM!,Goal: Gain practical experience with LLMs,Started payment,0,0,1,0,0,1,1,0,0,0,0,20,0,FALSE,FALSE,2,TRUE,FALSE,3,10.0,TRUE,TRUE
Student19,4,UX Team Lead,manager,0,0,0,1,0,0,"The title 'UX Team Lead' contains 'Team Lead', which is listed under the manager category. There are no keywords indicating entrepreneur, leader, or student. Therefore, it fits best as a manager.",smb,0,1,0,0,"Upskilling in for AI, a better understanding of building prototypes and products.","Goal: Upskilling in AI, prototype and product development",Lightning Lesson,0,1,0,0,0,3,0,0,1,0,0,55,5,TRUE,TRUE,11,TRUE,TRUE,3,,FALSE,FALSE
Student20,2,Solutions Architect,ic,0,1,0,0,0,0,"The title 'Solutions Architect' contains the word 'architect', which is listed as an example under the 'ic' (Individual Contributor) category. There are no keywords indicating managerial, leadership, entrepreneurial, or student roles.",enterprise,1,0,0,0,"Basic understanding of AI workflows.  I work with customers on presenting and selling technology on a corporate scale (Sales Solutions Architect), so am looking to get an understanding of the selection/discovery/build and operation process that's involved with selecting and building an AI enabled application (Sales Solutions Architect)",Goal: Understand AI workflows for sales solutions and application development,Started payment,0,0,1,0,0,3,0,0,1,0,0,40,3,TRUE,TRUE,8,TRUE,TRUE,1,10.0,TRUE,TRUE
Student21,1,ML Engineer,entrepreneur,1,0,0,0,0,0,Solo company,solo,0,0,1,0,"- Technical skills: learn to use LLMs/ AI
- Side projects: build up portfolio of side projects
- Community: network with other data scientists/ software engineers
","Goal: Learn AI skills, build projects, and network with professionals",Started payment,0,0,1,0,0,5,0,0,0,0,1,27,3,TRUE,TRUE,5,TRUE,TRUE,2,10.0,TRUE,TRUE
Student22,1,Information security lead,manager,0,0,0,1,0,0,"The job title contains 'lead', which typically indicates someone who leads a team or project but is not at the director or executive level. There is no indication of entrepreneurship or student status. Therefore, 'manager' is the most appropriate category.",unknown,0,0,0,1,Learn how to train and apply llm in real use cases like ingest legacy code and create a llm that can suggest recoding or triage quickly former legacy code,Goal: Learn to train and apply LLMs for legacy code analysis and suggestions,Waitlist,0,0,0,0,1,1,1,0,0,0,0,22,0,FALSE,FALSE,4,TRUE,TRUE,5,,FALSE,FALSE
Student23,1,Staff Scientist ,ic,0,1,0,0,0,0,"The title 'Staff Scientist' contains the keyword 'scientist', which is listed under individual contributors (ICs). There are no indications of managerial or leadership responsibilities, nor does it suggest entrepreneurship or student status.",enterprise,1,0,0,0,Better understanding and skill set in AI to make my resume stand out in data science,Goal: Improve AI skills to enhance data science resume.,Waitlist,0,0,0,0,1,3,0,0,1,0,0,34,1,TRUE,FALSE,6,TRUE,TRUE,4,8.0,FALSE,TRUE
Student24,2,Product management,manager,0,0,0,1,0,0,"The title 'Product management' is ambiguous, but it most closely aligns with roles such as 'product manager' or 'product management specialist.' Since 'manager' is explicitly mentioned in the example keywords and is a common job title, the most appropriate category is manager.",enterprise,1,0,0,0,Practical hands on experience of building LLM tools,Goal: Gain practical hands-on experience building LLM tools,Started payment,0,0,1,0,0,1,1,0,0,0,0,3,0,FALSE,FALSE,1,TRUE,FALSE,0,,FALSE,FALSE
Student25,2,Senior Software Engineer,ic,0,1,0,0,0,0,"The title 'Senior Software Engineer' contains 'engineer', which is a typical individual contributor (IC) role. The 'senior' prefix does not indicate management or leadership responsibilities, just a higher level of experience.",smb,0,1,0,0,Hands on experience in learning AI that will help explore opportunities on how we can integrate AI in building solutions as a Software Engineer.,Goal: Gain hands-on AI experience to integrate AI into software solutions,Started payment,0,0,1,0,0,5,0,0,0,0,1,21,2,TRUE,FALSE,3,TRUE,TRUE,3,,FALSE,FALSE
Student26,1,Learner,entrepreneur,1,0,0,0,0,0,Solo company,solo,0,0,1,0,"Learn basics and want to know what all fits where in the game .  I am not a coder and won’t code .  But from
product management perspective I want to know what all buzz words are and where do they fit ?  Like RAG .. hugging face and all other industry trends  I keep hearing but I don’t know what exactly to use them and where to use them -  what is hugging face and who are their competitions and why to use them ?  Similarly RAG etc etc etc ","Goal: Understand industry trends, buzzwords, and their applications in product management",Waitlist,0,0,0,0,1,1,1,0,0,0,0,26,0,FALSE,FALSE,2,TRUE,FALSE,6,,FALSE,FALSE
Student27,1,Solutions Architect,ic,0,1,0,0,0,0,"The title 'Solutions Architect' contains the word 'architect', which is listed as an example under the 'ic' (Individual Contributor) category. There are no indications of managerial or leadership responsibilities, nor does it suggest entrepreneurship or student status.",enterprise,1,0,0,0,"I would like to understand AI, how to create LLM and some of the mathematics behind AI.","Goal: Understand AI, create LLMs, and learn AI mathematics",Started payment,0,0,1,0,0,5,0,0,0,0,1,19,0,FALSE,FALSE,0,FALSE,FALSE,2,,FALSE,FALSE
Student28,3,Data Scientist,ic,0,1,0,0,0,0,"The title 'Data Scientist' matches the example list under individual contributors (ICs) and does not indicate management, leadership, entrepreneurship, or student status.",enterprise,1,0,0,0,getting more out of generative AI and LLM applications,Goal: Improve understanding and application of generative AI and LLMs,Lightning Lesson,0,1,0,0,0,4,0,0,0,1,0,13,1,TRUE,FALSE,1,TRUE,FALSE,0,,FALSE,FALSE
Student29,1,PhD Student,student,0,0,0,0,1,0,"The title 'PhD Student' directly matches the student category, as it refers to someone pursuing a doctoral degree.",enterprise,1,0,0,0,Knowledge to build AI applications.,Goal: Gain knowledge to build AI applications,Started payment,0,0,1,0,0,5,0,0,0,0,1,23,2,TRUE,FALSE,4,TRUE,TRUE,4,10.0,TRUE,TRUE
Student30,1,Data Scientist - Assistant Manager,manager,0,0,0,1,0,0,"The job title contains both 'Data Scientist' (which is an IC role) and 'Assistant Manager' (which is a manager role). According to the priority order, 'manager' comes before 'ic'. Therefore, the correct classification is 'manager'.",enterprise,1,0,0,0,Bridge any knowledge gaps and improve my understanding of building w/ AI,Goal: Bridge knowledge gaps and improve understanding of building with AI,Waitlist,0,0,0,0,1,5,0,0,0,0,1,9,0,FALSE,FALSE,0,FALSE,FALSE,3,,FALSE,FALSE
Student31,2,Senior software developer,ic,0,1,0,0,0,0,"The title 'Senior software developer' contains the keyword 'developer', which is listed under individual contributors (ICs). The 'senior' prefix does not indicate managerial or leadership responsibility, so it remains in the IC category.",unknown,0,0,0,1,Developer-level understanding of Gen-AI and related tech.,Goal: Achieve developer-level understanding of Gen-AI and related tech,Lightning Lesson,0,1,0,0,0,5,0,0,0,0,1,17,1,TRUE,FALSE,3,TRUE,TRUE,6,9.0,FALSE,TRUE
Student32,2,Product Manager ,manager,0,0,0,1,0,0,"The title 'Product Manager' contains the keyword 'manager' and refers to someone who leads projects or processes, typically overseeing ICs. There are no indications of higher leadership, entrepreneurship, or student status.",smb,0,1,0,0,Learn about AI and automating AI tasks with python. ,Goal: Learn AI and automate AI tasks with Python,Lightning Lesson,0,1,0,0,0,5,0,0,0,0,1,7,0,FALSE,FALSE,1,TRUE,FALSE,1,,FALSE,FALSE
Student33,4,Director of Network Infrastructure,leader,0,0,1,0,0,0,"The title 'Director' is explicitly listed under the 'leader' category, as it typically refers to someone who leads managers or oversees a department or function within a company.",enterprise,1,0,0,0,To learn practical AI skills that I can apply to real life use-cases.,Goal: Learn practical AI skills for real-life applications,Waitlist,0,0,0,0,1,5,0,0,0,0,1,40,2,TRUE,FALSE,3,TRUE,TRUE,5,,FALSE,FALSE
Student34,4,Entrepreneur,entrepreneur,1,0,0,0,0,0,Solo company,solo,0,0,1,0,Implement AI to help small businesses grow and be more efficient.,Goal: Use AI to help small businesses grow and improve efficiency,Started payment,0,0,1,0,0,3,0,0,1,0,0,24,4,TRUE,TRUE,10,TRUE,TRUE,2,,FALSE,FALSE
Student35,3,IT Specialist,ic,0,1,0,0,0,0,"The title 'IT Specialist' contains the keyword 'specialist', which is listed under the individual contributor (IC) examples. There are no indications of managerial, leadership, entrepreneurial, or student roles.",smb,0,1,0,0,Learn how to create AI systems (LLMs and RAGs) that use my own data sets (incl the tokenization of those data sets). I want to understand how to host them (locally or in the cloud) and have a better idea about which open-source models to choose from. ,"Goal: Learn to create, host, and choose open-source AI models using personal data",Started payment,0,0,1,0,0,4,0,0,0,1,0,46,2,TRUE,FALSE,22,TRUE,TRUE,2,9.0,FALSE,TRUE
Student36,1,"CTO - founder, technology lead",entrepreneur,1,0,0,0,0,0,Solo company,solo,0,0,1,0,I would like to deepen my understanding of AI concepts and learn how to apply them effectively in real-world projects. I'm especially interested in exploring practical techniques for building intelligent systems.,Goal: Deepen AI understanding and learn practical techniques for intelligent systems,Uploaded to waitlist,0,0,0,1,0,5,0,0,0,0,1,29,3,TRUE,TRUE,3,TRUE,TRUE,3,10.0,TRUE,TRUE
Student37,1,CEO,leader,0,0,1,0,0,0,"The title 'CEO' (Chief Executive Officer) is a classic example of a leader role, as it refers to the highest-ranking executive in a company who leads other leaders and managers.",smb,0,1,0,0,"ine Hands on completion of several GenAI projects - Python program and environment using OpenAI API (AND calling a web search engine AND scraping a data point from a Yahoo Finance point where the data value is NOT present in the page's HTML but is called by that HTML),  Fine-tuning a real model, actually incorporating a RAG, creating a GPT and knowing the optimum use case for it, creating a simple AI agent--that is fast; managing an AI project.  All the other items mentioned in your syllabus. But the essence is doing the actual programming and getting my own working model hands on with your assistance, not just reading about doing.","Goal: Hands-on experience with GenAI projects, programming, and managing AI models",Waitlist,0,0,0,0,1,5,0,0,0,0,1,42,0,FALSE,FALSE,0,FALSE,FALSE,6,10.0,TRUE,TRUE
Student38,1,Teacher,ic,0,1,0,0,0,0,"The title 'Teacher' does not match any of the higher-priority categories such as entrepreneur, leader, or manager. It is not a student role. Teachers are typically individual contributors responsible for delivering instruction, similar to other IC roles like 'instructor' or 'trainer.'",enterprise,1,0,0,0,I'm a full time physics and ICT teacher trying to change careers into consulting as a data scientist/analyst. I would really like to be able to make at least a simple generative AI app/tool by myself.  ,Goal: Transition to data science and create a generative AI app/tool,Waitlist,0,0,0,0,1,4,0,0,0,1,0,35,2,TRUE,FALSE,14,TRUE,TRUE,2,9.0,FALSE,TRUE
Student39,3,technical program manager,manager,0,0,0,1,0,0,"The title 'technical program manager' contains the word 'manager', which indicates responsibility for leading projects or teams, fitting the 'manager' category. There are no keywords indicating a higher-priority category such as entrepreneur or leader.",enterprise,1,0,0,0,Delving deeper into practical AI with more hands on guided projects and bringing them to production level in support of a portfolio. ,Goal: Gain practical AI skills and build a portfolio with real projects,Started payment,0,0,1,0,0,5,0,0,0,0,1,40,5,TRUE,TRUE,12,TRUE,TRUE,1,10.0,TRUE,TRUE
Student40,1,Research Scientist,ic,0,1,0,0,0,0,"The title 'Research Scientist' matches the IC category, as 'scientist' is listed as an example of an individual contributor. There are no indications of managerial, leadership, entrepreneurial, or student status.",enterprise,1,0,0,0,Get hands on experience with AI projects and learn on a schedule.,Goal: Gain hands-on AI experience and learn on a schedule,Started payment,0,0,1,0,0,5,0,0,0,0,1,22,2,TRUE,FALSE,5,TRUE,TRUE,3,9.0,FALSE,TRUE
Student41,4,Senior Software Engineer,ic,0,1,0,0,0,0,"The title 'Senior Software Engineer' contains 'engineer', which is listed under individual contributors (ICs). The 'senior' prefix does not indicate managerial or leadership responsibility, so it remains an IC role.",unknown,0,0,0,1,Practical AI foundation,Goal: Gain practical AI foundation,Waitlist,0,0,0,0,1,5,0,0,0,0,1,26,0,FALSE,FALSE,3,TRUE,TRUE,0,,FALSE,FALSE
Student42,1,Data Scientist,ic,0,1,0,0,0,0,"The title 'Data Scientist' matches the example list for individual contributors (ICs) and does not contain keywords indicating management, leadership, entrepreneurship, or student status.",enterprise,1,0,0,0,Build AI tools,Goal: Build AI tools,Uploaded to waitlist,0,0,0,1,0,3,0,0,1,0,0,1,0,FALSE,FALSE,0,FALSE,FALSE,1,,FALSE,FALSE
Student43,4,Special Projects Staff SDE,ic,0,1,0,0,0,0,"The title 'Special Projects Staff SDE' includes 'SDE' (Software Development Engineer), which is an individual contributor role. 'Staff' indicates a senior IC level, not a manager or leader. There are no keywords indicating management, leadership, entrepreneurship, or student status.",smb,0,1,0,0,Better understanding of utilizing AI tools beyond just using a chat bot. ,Goal: Improve understanding of AI tools beyond chatbots,Started payment,0,0,1,0,0,5,0,0,0,0,1,18,1,TRUE,FALSE,2,TRUE,FALSE,21,,FALSE,FALSE
Student44,1,Data scientist,ic,0,1,0,0,0,0,"The title 'Data scientist' matches the example list under individual contributors (ICs), as it is a specialized technical role without any indication of management or leadership responsibilities.",unknown,0,0,0,1,Getting skills (for my resume),Goal: Gain skills to enhance resume,Started payment,0,0,1,0,0,1,1,0,0,0,0,30,1,TRUE,FALSE,2,TRUE,FALSE,2,,FALSE,FALSE
Student45,2,Group Product Manager,leader,0,0,1,0,0,0,"The title 'Group Product Manager' includes 'manager' and typically refers to someone who manages other product managers or leads a group of managers. This fits the 'leader' category, as it is above a standard manager role and involves leadership over managers.",enterprise,1,0,0,0,Basic knowledge on how to use AI ,Goal: Learn basic AI usage skills,Lightning Lesson,0,1,0,0,0,5,0,0,0,0,1,29,0,FALSE,FALSE,1,TRUE,FALSE,5,10.0,TRUE,TRUE
Student46,4,Cloud Engineer | Data/Analytics/AI/ML Engineer ,ic,0,1,0,0,0,0,"The job title includes 'Engineer' multiple times (Cloud Engineer, Data/Analytics/AI/ML Engineer), which are classic examples of individual contributor roles. There are no indications of management, leadership, or entrepreneurial responsibilities, nor is there any mention of student or intern status.",smb,0,1,0,0,Advancement in career,Goal: Career advancement,Waitlist,0,0,0,0,1,1,1,0,0,0,0,4,0,FALSE,FALSE,0,FALSE,FALSE,0,,FALSE,FALSE
Student47,4,Platform Engineering,ic,0,1,0,0,0,0,"The job title 'Platform Engineering' does not specify a leadership or managerial role, nor does it indicate entrepreneurship or student status. It most closely aligns with an individual contributor (IC) role, such as engineer or developer.",enterprise,1,0,0,0,"Get to be fully hands on in the weeds to run ML models, large scale data pipelines and become an AI expert to be able to build AI agents","Goal: Become an AI expert by mastering ML models, data pipelines, and building AI agents",Started payment,0,0,1,0,0,3,0,0,1,0,0,11,0,FALSE,FALSE,3,TRUE,TRUE,0,,FALSE,FALSE
Student48,4,Unknown job title,unknown,0,0,0,0,0,1,Unknown job title,unknown,0,0,0,1,"I'm currently in college and about to transition into my Bachelor's in Computer Science. Through this course, I would like to learn more about AI to create real-world applications.",Goal: Learn AI to create real-world applications for Computer Science,Started payment,0,0,1,0,0,5,0,0,0,0,1,59,0,FALSE,FALSE,2,TRUE,FALSE,1,,FALSE,FALSE
Student49,3,Software Engineer,ic,0,1,0,0,0,0,"The title 'Software Engineer' matches the example keywords for individual contributors (ICs) such as 'engineer' and does not indicate any leadership, management, or entrepreneurial role.",enterprise,1,0,0,0,Broaden my skill set as a software engineer,Goal: Broaden software engineering skills,Started payment,0,0,1,0,0,1,1,0,0,0,0,4,0,FALSE,FALSE,4,TRUE,TRUE,6,,FALSE,FALSE
Student50,2,Partner Business Manger,manager,0,0,0,1,0,0,"The title contains 'Partner', which can sometimes indicate a leadership or ownership role, but in this case, it is followed by 'Business Manager'. The primary function indicated is 'Manager', which suggests responsibility for leading ICs or projects, not necessarily at the executive or ownership level. There is no indication of entrepreneurship or student status.",enterprise,1,0,0,0,Become an expert at AI,Goal: Become an AI expert,Started payment,0,0,1,0,0,3,0,0,1,0,0,6,1,TRUE,FALSE,2,TRUE,FALSE,1,,FALSE,FALSE
Student51,2,Chief Product and Technology Officer,leader,0,0,1,0,0,0,"The title includes 'Chief', which is a clear indicator of a C-level executive role. Such roles are classified as 'leader' according to the provided categories.",smb,0,1,0,0,Get a better understanding of the mechanics of AI by applying concepts in practice. ,Goal: Understand AI mechanics through practical application,Waitlist,0,0,0,0,1,5,0,0,0,0,1,41,0,FALSE,FALSE,2,TRUE,FALSE,4,,FALSE,FALSE
Student52,1,Founder,entrepreneur,1,0,0,0,0,0,Solo company,solo,0,0,1,0,"I would like to learn AI basics and a panoramic picture of the alternatives to structure, develop and  implement AI projects.  I come from the Power Generation industry and would like to apply AI in my field, as well as for Applied AI consulting projects.",Goal: Learn AI basics and apply AI in Power Generation and consulting projects,Started payment,0,0,1,0,0,5,0,0,0,0,1,16,0,FALSE,FALSE,3,TRUE,TRUE,0,10.0,TRUE,TRUE
Student53,3,Generalist,entrepreneur,1,0,0,0,0,0,Solo company,solo,0,0,1,0,Practical ramp-up the learning curve for building AI applications,Goal: Accelerate learning to build AI applications,Started payment,0,0,1,0,0,4,0,0,0,1,0,14,2,TRUE,FALSE,4,TRUE,TRUE,6,8.0,FALSE,TRUE
Student54,3,Data Engineer,ic,0,1,0,0,0,0,"The title 'Data Engineer' contains the word 'engineer', which is listed as an example of an individual contributor (IC) role. There are no indications of managerial or leadership responsibilities, nor does it suggest entrepreneurship or student status.",enterprise,1,0,0,0,No response provided,No response provided,Started payment,0,0,1,0,0,2,0,1,0,0,0,10,0,FALSE,FALSE,2,TRUE,FALSE,0,,FALSE,FALSE
Student55,2,Unknown job title,unknown,0,0,0,0,0,1,Unknown job title,unknown,0,0,0,1,Ability to build AI use cases for various world problems including in Transportation,"Goal: Build AI use cases for global problems, including transportation",Started payment,0,0,1,0,0,3,0,0,1,0,0,2,0,FALSE,FALSE,0,FALSE,FALSE,0,,FALSE,FALSE
Student56,1,VP technology,leader,0,0,1,0,0,0,"The title 'VP technology' includes 'VP', which stands for Vice President, a classic leader-level title. This role typically leads managers and oversees major functions or departments within a company.",smb,0,1,0,0,I am VP technology in professional service organization. Planning to get a good hold on AI practise so that I can adopt and implement it within our organization ,Goal: Learn AI to adopt and implement it in the organization,Waitlist,0,0,0,0,1,5,0,0,0,0,1,0,0,FALSE,FALSE,0,FALSE,FALSE,6,,FALSE,FALSE
Student57,2,CEO,leader,0,0,1,0,0,0,"The title 'CEO' (Chief Executive Officer) is explicitly listed under the 'leader' category as it refers to the highest-ranking executive in a company, typically leading other managers and executives.",smb,0,1,0,0,How to use modern AI tools for freelance,Goal: Learn to use AI tools for freelancing,Started payment,0,0,1,0,0,3,0,0,1,0,0,14,0,FALSE,FALSE,0,FALSE,FALSE,6,10.0,TRUE,TRUE
Student58,1,Unknown job title,unknown,0,0,0,0,0,1,Unknown job title,unknown,0,0,0,1,AI Basic,Goal: Learn basic AI concepts,Started payment,0,0,1,0,0,5,0,0,0,0,1,28,0,FALSE,FALSE,1,TRUE,FALSE,6,,FALSE,FALSE
Student59,1,CTO,entrepreneur,1,0,0,0,0,0,Solo company,solo,0,0,1,0,"As a tech leader, I want to understand the possibilities of ML and AI in real-world projects and become able to help my tech teams with the right decision in terms of architecture, alghoritm, planning etc",Goal: Understand ML/AI for real-world projects and support tech teams' decisions,Waitlist,0,0,0,0,1,5,0,0,0,0,1,46,3,TRUE,TRUE,7,TRUE,TRUE,2,10.0,TRUE,TRUE
